Datetime,PJME_MW,year,month,hour,day_num,day_of_month,week_of_year,is_weekend,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24
2012-06-09 03:00:00,0.18837037817339092,2012,6,3,5,9,23,1,0.20992310123248714,0.1682081533761719,0.1857157905825345,0.358918239566264,0.41876704719384217
2012-06-09 04:00:00,0.17395975982302747,2012,6,4,5,9,23,1,0.18837037817339092,0.15940166438428316,0.17395975982302747,0.3601282595941817,0.4122273343205962
2012-06-09 05:00:00,0.16806067628779098,2012,6,5,5,9,23,1,0.17395975982302747,0.16549036131886652,0.1687348572632466,0.36100195221622056,0.4071119682844092
2012-06-09 06:00:00,0.16766038133361422,2012,6,6,5,9,23,1,0.16806067628779098,0.1906036026545876,0.1705888549457495,0.36115620764297696,0.40620250145215364
2012-06-09 07:00:00,0.1808069103549984,2012,6,7,5,9,23,1,0.16766038133361422,0.24447487622458652,0.1795006847150532,0.3597792883008637,0.4137117632731554
2012-06-09 08:00:00,0.22277467607710943,2012,6,8,5,9,23,1,0.1808069103549984,0.30249657642473404,0.2120720530917518,0.35595830551678087,0.42990662118942113
2012-06-09 09:00:00,0.27481302012008846,2012,6,9,5,9,23,1,0.22277467607710943,0.34006109765090065,0.2532392289055093,0.35117385850984195,0.44198835251637947
2012-06-09 10:00:00,0.32017275887496044,2012,6,10,5,9,23,1,0.27481302012008846,0.36968292425998106,0.2875381860318129,0.34725804656996606,0.4461337237242279
2012-06-09 11:00:00,0.35569366901927735,2012,6,11,5,9,23,1,0.32017275887496044,0.39776677551880335,0.31090277046244597,0.3442867330217879,0.44573409635387506
2012-06-09 12:00:00,0.3840514062993785,2012,6,12,5,9,23,1,0.35569366901927735,0.41995154324238915,0.32171073422521856,0.34176174870020826,0.44284717505022064
2012-06-09 13:00:00,0.40817444432739913,2012,6,13,5,9,23,1,0.3840514062993785,0.43130727904771937,0.32476561677025173,0.33960723028059303,0.43862436554319495
2012-06-09 14:00:00,0.42395449278415676,2012,6,14,5,9,23,1,0.40817444432739913,0.4507742547139998,0.3253765932792584,0.33821893143978465,0.4350867781110058
2012-06-09 15:00:00,0.43204466448962386,2012,6,15,5,9,23,1,0.42395449278415676,0.46552196355209097,0.32440745812704097,0.33660936456879287,0.4300370321592999
2012-06-09 16:00:00,0.441988833877594,2012,6,16,5,9,23,1,0.43204466448962386,0.47791003897608764,0.32171073422521856,0.33460025085472667,0.42287916590846153
2012-06-09 17:00:00,0.45555672600863795,2012,6,17,5,9,23,1,0.441988833877594,0.4870325503002212,0.322574528600021,0.3324444680463676,0.41423788376516923
2012-06-09 18:00:00,0.45972822079426945,2012,6,18,5,9,23,1,0.45555672600863795,0.4855367112609291,0.32105762140524596,0.3305554712629726,0.4057813170209047
2012-06-09 19:00:00,0.45096386811334666,2012,6,19,5,9,23,1,0.45972822079426945,0.46324660275992835,0.31206151901401036,0.32900659505168817,0.39862003514782607
2012-06-09 20:00:00,0.4342146845043716,2012,6,20,5,9,23,1,0.45096386811334666,0.43255030022121566,0.2994206257242178,0.3282694564139911,0.3955327599172551
2012-06-09 21:00:00,0.4249868324028231,2012,6,21,5,9,23,1,0.4342146845043716,0.4178657958495734,0.30218055409248923,0.32836934312475974,0.395875526190663
2012-06-09 22:00:00,0.4203729063520488,2012,6,22,5,9,23,1,0.4249868324028231,0.40956494258927634,0.3030864847782576,0.32879670652019977,0.39717062865032715
2012-06-09 23:00:00,0.37819445907510796,2012,6,23,5,9,23,1,0.4203729063520488,0.3567260086379437,0.26845043716422623,0.3294453379458233,0.3989864853966051
2012-06-10 00:00:00,0.324281049194143,2012,6,0,6,10,23,1,0.37819445907510796,0.29756662804171496,0.22416517433898664,0.33073375007586325,0.40057018828918145
2012-06-10 01:00:00,0.27466554303170754,2012,6,1,6,10,23,1,0.324281049194143,0.24544401137680394,0.18308227114716108,0.3323369950031356,0.3995518005628782
2012-06-10 02:00:00,0.23788054355841148,2012,6,2,6,10,23,1,0.27466554303170754,0.20992310123248714,0.15535657853154955,0.33409070219093273,0.3954625928894524
2012-06-10 03:00:00,0.21285157484462236,2012,6,3,6,10,23,1,0.23788054355841148,0.18837037817339092,0.13789107763615294,0.33576854605409545,0.38945402702238874
2012-06-10 04:00:00,0.19606025492468138,2012,6,4,6,10,23,1,0.21285157484462236,0.17395975982302747,0.12881070262298533,0.3372377657745139,0.38293804964195755
2012-06-10 05:00:00,0.18592647213736435,2012,6,5,6,10,23,1,0.19606025492468138,0.16806067628779098,0.12548193405667335,0.3385641095668709,0.3762398793994899
2012-06-10 06:00:00,0.18057516064468554,2012,6,6,6,10,23,1,0.18592647213736435,0.16766038133361422,0.12289055093226586,0.3396363112217029,0.3704350248456788
2012-06-10 07:00:00,0.18426208785420833,2012,6,7,6,10,23,1,0.18057516064468554,0.1808069103549984,0.12754661329400613,0.340411381521717,0.3661026556423862
2012-06-10 08:00:00,0.22323817549773517,2012,6,8,6,10,23,1,0.18426208785420833,0.22277467607710943,0.15742125776888233,0.3406187412757177,0.36499526738198906
2012-06-10 09:00:00,0.28012219530180127,2012,6,9,6,10,23,1,0.22323817549773517,0.27481302012008846,0.1961234593911303,0.3406465578280835,0.36488548386545605
2012-06-10 10:00:00,0.34130411882439693,2012,6,10,6,10,23,1,0.28012219530180127,0.32017275887496044,0.23038028020646795,0.3409651837915477,0.3642277055949662
2012-06-10 11:00:00,0.40014747708838094,2012,6,11,6,10,23,1,0.34130411882439693,0.35569366901927735,0.2562098388286106,0.34223336570168505,0.3639289555066212
2012-06-10 12:00:00,0.448709575476667,2012,6,12,6,10,23,1,0.40014747708838094,0.3840514062993785,0.2760771094490677,0.344901225951326,0.3675332652088119
2012-06-10 13:00:00,0.48781207205309174,2012,6,13,6,10,23,1,0.448709575476667,0.40817444432739913,0.2896660697355946,0.3487816350063725,0.37750084741242373
2012-06-10 14:00:00,0.5188243969240492,2012,6,14,6,10,23,1,0.48781207205309174,0.42395449278415676,0.29969451174549666,0.3535610244583358,0.39401543459455024
2012-06-10 15:00:00,0.5462551353628989,2012,6,15,6,10,23,1,0.5188243969240492,0.43204466448962386,0.3032550300221215,0.359254566972143,0.4165854791947813
2012-06-10 16:00:00,0.5700410829031918,2012,6,16,6,10,23,1,0.5462551353628989,0.441988833877594,0.30462446012851574,0.36610881835285547,0.4453373207328154
2012-06-10 17:00:00,0.5899926261455809,2012,6,17,6,10,23,1,0.5700410829031918,0.45555672600863795,0.3177709891498999,0.37379377313831397,0.4785364588470492
2012-06-10 18:00:00,0.5995575687348572,2012,6,18,6,10,23,1,0.5899926261455809,0.45972822079426945,0.32965342884230486,0.38186183771317594,0.5139948063662871
2012-06-10 19:00:00,0.5852522911619087,2012,6,19,6,10,23,1,0.5995575687348572,0.45096386811334666,0.32902138417781523,0.3902535858064776,0.5491723132466697
2012-06-10 20:00:00,0.5576319393237121,2012,6,20,6,10,23,1,0.5852522911619087,0.4342146845043716,0.3221531654903613,0.3983127996601322,0.57796074105244
2012-06-10 21:00:00,0.5372801011271463,2012,6,21,6,10,23,1,0.5576319393237121,0.4249868324028231,0.3247866849257347,0.4057195889219315,0.5986245503716322
